,year,transmission,price,mileage,desc
134,2017,Automatic,"PHP 530,000","30,001-40,000 km",Toyota Vios 2017 1.5 G Auto
135,2016,Manual,"PHP 390,000","30,001-40,000 km",Toyota Vios 1.3L Manual
136,2020,Manual,"PHP 528,000","0-10,000 km",2020 Toyota vios 1.3 XLE CVT Manual
137,2019,Manual,"PHP 367,000","0-10,000 km",9T KMS Only! 2019 Chevrolet Sail 1.3L M/T vs Civic Honda Toyota Altis Vios Raize City Accent Brio Amaze Ciaz Ford Fiesta Suzuki Swift Nissan Almera Wigo Hyundai Reina Avanza Seltos Soluto Eon Lancer Mazda 2 3 Elantra Rio Picanto Mitsubishi G4 Mirage Yaris Dzire 2017 2018 2016 2015 2014 2013 2012 2011 2021 2022 2019 Manual
138,2020,Manual,"PHP 356,000","0-10,000 km",5T KMS Only! 2020 Suzuki Dzire 1.2L M/T vs Civic Honda Toyota Altis Vios City Accent Brio Amaze Ciaz Ford Fiesta Suzuki Swift Nissan Almera Wigo Hyundai Reina Avanza Seltos Soluto Eon Lancer Mazda 2 3 Elantra Rio Picanto Mitsubishi G4 Mirage Yaris Sail 2017 2018 2016 2015 2014 2013 2021 2022 2019 Manual
139,2008,Manual,"PHP 250,000","130,001-140,000 km",Toyota Vios 1.3 Manual
140,2017,Automatic,"PHP 500,000","70,001-80,000 km",Toyota Vios 1.5 G (A)
141,2022,Automatic,"PHP 648,000","0-10,000 km",2022 Toyota vios 1.3 XLE CVT Auto
142,2014,Manual,"PHP 309,000","90,001-100,000 km",Toyota Vios 1.5 E (M)
143,2017,Automatic,"PHP 429,000","40,001-50,000 km",Toyota Vios Toyota Vios 2017 Black A/T 1.3 E Auto
144,2016,Manual,"PHP 300,000","50,001-60,000 km",Toyota Vios J Manual
145,2018,Manual,"PHP 350,000","50,001-60,000 km",Toyota Vios E Manual
146,2021,Automatic,"PHP 648,000","20,001-30,000 km",Toyota Vios XLE 1.3 Auto
147,2019,Manual,"PHP 385,000","60,001-70,000 km",Toyota Vios 1.3 J Manual
148,2012,Manual,"PHP 295,000","60,001-70,000 km",Toyota Vios 1.3 E MT Manual
149,2021,Automatic,"PHP 520,000","0-10,000 km",Toyota Vios XE Sedan Auto
150,2004,Manual,"PHP 215,000","120,001-130,000 km",Toyota Vios 1.5 E (M)
151,2015,Manual,"PHP 280,000","60,001-70,000 km",Toyota Vios 1.3 J Manual
152,2015,Automatic,"PHP 400,000","90,001-100,000 km",Toyota Vios 1.5 E (A)
153,2021,Automatic,"PHP 610,000","20,001-30,000 km",Toyota Vios XLE 1.3 Auto
154,2016,Automatic,"PHP 380,000","30,001-40,000 km",Toyota Vios E Auto
155,2022,Automatic,"PHP 658,000","0-10,000 km",2022 Toyota Vios 1.3xle like new must see Auto
156,2022,Automatic,"PHP 658,000","0-10,000 km",2022 Toyota Vios 1.3xle 3tkm like new must see Auto
157,2014,Automatic,"PHP 448,000","20,001-30,000 km",Toyota Vios 1.3E Auto
158,2018,Automatic,"PHP 420,000","40,001-50,000 km",Toyota Vios 1.5 E (A)
159,2014,Manual,"PHP 314,888","40,001-50,000 km",Toyota Vios 1.5 J LX Manual
160,2016,Automatic,"PHP 480,000","0-10,000 km",Toyota Vios 1.5 G (A)
161,2021,Automatic,"PHP 612,000","0-10,000 km",2021 Toyota vios 1.3 xle cvt Auto
162,2021,Automatic,"PHP 598,000","0-10,000 km",2021 Toyota Vios 1.3xle 8tkm very fresh must see Auto
163,2018,Manual,"PHP 490,000","10,001-20,000 km",Toyota Vios 1.5 E (M)
164,2008,Manual,"PHP 298,000","80,001-90,000 km",Toyota Vios 1.5 E (M)
165,2018,Automatic,"PHP 449,000","40,001-50,000 km",2018 Toyota Vios 1.3 E AT Automatic Gas Auto
