,year,transmission,price,mileage,desc,XLE,XE,J ,E ,G ,variant
98,2021,Automatic,628000,15000,Toyota Vios 1.3 XLE AUTOMATIC Auto,1,0,0,1,0,XLE
99,2021,Automatic,668000,25000,2021 Toyota Vios 1.3 XLE CVT 2021 Toyota Vios 1.3 XLE CVT,1,0,0,1,0,XLE
100,2022,Automatic,639000,5000,2022 Toyota vios 1.3 xle cvt Auto,1,0,0,1,0,XLE
101,2010,Manual,235000,55000,2010 TOYOTA VIOS “J” ALL POWER - MANUAL TRANSMISSION - ORIGINAL LOW MILEAGE Manual,0,0,0,1,0,E 
102,2018,Automatic,518000,45000,Toyota Vios 1.3 E Auto,0,0,0,1,0,E 
103,2022,Automatic,658000,5000,2022 Toyota Vios 1.3XLE Automatic Blackish Red Financing Ok Auto,1,0,0,1,1,XLE
104,2022,Automatic,658000,5000,2022 Toyota Vios 1.3XLE Automatic Red Financing Ok Auto,1,0,0,1,1,XLE
105,2022,Automatic,658000,5000,Toyota Vios 1.3XLE Automatic Auto,1,0,0,1,0,XLE
106,2019,Automatic,648000,15000,2019 TOYOTA VIOS G PRIME Auto,0,0,0,1,1,E 
108,2019,Automatic,525000,25000,Toyota Vios 1.5 E (A),0,0,0,1,0,E 
109,2021,Manual,635000,15000,Toyota Vios XLE Manual,1,0,0,1,0,XLE
110,2018,Manual,488000,25000,Toyota Vios 1.3 E Manual,0,0,0,1,0,E 
111,2022,Automatic,638000,5000,2022 Toyota vios 1.3 xle cvt Auto,1,0,0,1,0,XLE
112,2021,Automatic,688000,15000,🔥🔥SALE!!!🔥🔥2021 Toyota Vios 1.3 XLE cvt A/t Auto,1,0,0,1,0,XLE
113,2021,Automatic,648000,15000,Toyota Vios XLE 1.3 CVT Auto,1,0,0,1,0,XLE
114,2022,Manual,633000,5000,2022 toyota vios 1.3 xle Manual,1,0,0,1,0,XLE
116,2021,Automatic,608000,5000,2021 Toyota vios 1.3 xle cvt Auto,1,0,0,1,0,XLE
117,2020,Automatic,548000,15000,2020 Toyota vios 1.3 xle cvt Auto,1,0,0,1,0,XLE
118,2020,Automatic,535000,35000,Toyota Vios Vios 1.3XLE Auto,1,0,0,1,0,XLE
119,2022,Automatic,668000,5000,2022 Toyota Vios 1.3 XLE CVT Automatic Red Mica Metallic Auto,1,0,0,1,0,XLE
